school,homepage,name,areas
University of California - Davis,http://www.cs.ucdavis.edu/~davidson,Ian N. Davidson,"[""ai"",""mlmining""]"
University of Waterloo,https://cs.uwaterloo.ca/~tozsu/,M. Tamer Özsu,"[""mlmining"",""mod""]"
University of Edinburgh,http://www.research.ed.ac.uk/portal/en/persons/michael-herrmann(cf1b7c31-3a87-4812-bf0a-05cf49b0120e).html,J. Michael Herrmann,"[""robotics"",""mlmining""]"
Hebrew University of Jerusalem,http://www.cs.huji.ac.il/~shais/,Shai Shalev-Shwartz,"[""ai"",""mlmining"",""ir"",""act""]"
University of Massachusetts - Lowell,http://www.google.com/search?q=Anna%20Rumshisky%20University%20of%20Massachusetts%20-%20Lowell&btnI,Anna Rumshisky,"[""nlp"",""mlmining""]"
University of California - Riverside,http://www.cs.ucr.edu/~stelo/,Stefano Lonardi,"[""bio"",""mlmining""]"
Princeton University,https://www.cs.princeton.edu/~bwk/,Brian W. Kernighan,
Australian National University,http://www.google.com/search?q=Joseph%20S.%20Coventry%20Australian%20National%20University&btnI,Joseph S. Coventry,
Texas A&M University,http://faculty.cs.tamu.edu/jchai/,Jinxiang Chai,"[""graph"",""vision""]"
Vanderbilt University,http://www.vuse.vanderbilt.edu/~biswas/,Gautam Biswas,"[""ai"",""robotics"",""mlmining""]"
University of Illinois at Urbana-Champaign,http://iacoma.cs.uiuc.edu/~torrella/,Josep Torrellas,"[""hpc"",""arch"",""plan""]"
George Washington University,http://www.google.com/search?q=Hyeong-Ah%20Choi%20George%20Washington%20University&btnI,Hyeong-Ah Choi,"[""comm""]"
Northwestern University,http://compphotolab.northwestern.edu/,Oliver S. Cossairt,
University of California - Santa Cruz,https://www.soe.ucsc.edu/people/optas,Dimitris Achlioptas,"[""ai"",""mlmining"",""mod"",""act"",""ops""]"
Northeastern University,http://www.ccs.neu.edu/home/intille/,Stephen S. Intille,"[""chi""]"
Stanford University,https://profiles.stanford.edu/doug-james,Doug L. James,"[""graph"",""robotics""]"
Ecole Normale Superieure de Cachan,http://www.lsv.ens-cachan.fr/~doyen/publications.html,Laurent Doyen 0001,"[""log""]"
University of Southern California,http://www.isi.edu/~knight/,Kevin Knight,"[""ai"",""nlp""]"
Washington State University,http://www.google.com/search?q=Daehyun%20Kim%20Washington%20State%20University&btnI,Daehyun Kim,"[""hpc"",""da"",""arch"",""mod""]"
University of Texas - Dallas,http://www.utdallas.edu/~rmili/,Rym Zalila-Wenkstern,
University of British Columbia,https://www.cs.ubc.ca/people/norm-hutchinson,Norman C. Hutchinson,"[""ir"",""ops""]"
University of Melbourne,http://www.cis.unimelb.edu.au/people/staff.php?person_ID=16028,Rao Kotagiri,
Princeton University,https://www.cs.princeton.edu/~mzhandry/,Mark Zhandry,"[""crypt"",""act""]"
Georgia Institute of Technology,http://www.scs.gatech.edu/people/zvi-galil,Richard Jay Lipton,"[""sec""]"
University of Illinois at Urbana-Champaign,http://taoxie.cs.illinois.edu/,Tao Xie,"[""ops"",""arch"",""ir"",""metrics"",""sec"",""hpc"",""soft""]"
Rutgers University,http://www.math.rutgers.edu/~sk1233/,Swastik Kopparty,"[""act"",""comm"",""mod""]"
University of Central Florida,http://dsg.eecs.ucf.edu/Faculty.aspx,Kien A. Hua,"[""comm"",""mod""]"
University of Tennessee,http://web.eecs.utk.edu/~gdp/,Gregory Peterson,
Ecole Normale Superieure de Cachan,http://www.lsv.ens-cachan.fr/~segoufin/Papers/,Luc Segoufin,"[""act"",""log"",""mod""]"
University of California - Davis,http://www.cs.ucdavis.edu/~yjlee/,Yong Jae Lee,"[""graph"",""vision"",""mlmining""]"
University of Tennessee,http://web.eecs.utk.edu/~qcao1/,Qing Cao,"[""hpc"",""mobile"",""comm""]"
Arizona State University,https://cidse.engineering.asu.edu/directory/collofello-james/,James S. Collofello,
University of Massachusetts - Lowell,http://www.cs.uml.edu/~williams/,Marian G. Williams,
Ecole Normale Superieure de Lyon,http://www.ens-lyon.fr/jsp/liste_resultats.jsp?OBJET=ANNUAIREKSUP&NOM=G&CODE_RATTACHEMENT=LABOS&LANGUE=0&FROM=30&RH=ENS-LYON&LANGUE=0,Thierry Gautier,"[""hpc""]"
University of Waterloo,https://cs.uwaterloo.ca/faculty-staff/contacts/naomi-nishimura,Naomi Nishimura,"[""act""]"
Carnegie Mellon University,http://www.cs.cmu.edu/~illah/,Illah R. Nourbakhsh,"[""ai"",""robotics"",""mlmining""]"
Imperial College London,https://www.doc.ic.ac.uk/~dfg,Duncan Gillies,
University of Florida,http://www.lokben.com/,Benjamin Lok,"[""graph"",""chi""]"
Drexel University,https://www.cs.drexel.edu/~kon/,Ko Nishino,"[""graph"",""robotics"",""vision""]"
University of Massachusetts - Lowell,http://www.google.com/search?q=Stuart%20Smith%20University%20of%20Massachusetts%20-%20Lowell&btnI,Stuart Smith,
University of Warsaw,http://www.asc.uw.edu.pl/faculty.html,Tomasz Pawel Michalak,"[""ai""]"
Brigham Young University,http://www.google.com/search?q=Cory%20Barker%20Brigham%20Young%20University&btnI,Cory Barker,
University of Zurich,http://www.ifi.uzh.ch/~glinz,Martin Glinz,"[""soft""]"
University of Chicago,http://people.cs.uchicago.edu/~rchugh/,Ravi Chugh,"[""plan""]"
University of California - Riverside,http://www.cs.ucr.edu/~jiasi/,Jiasi Chen,"[""mobile"",""comm""]"
Aarhus University,http://cs.au.dk/~danvy/,Olivier Danvy,
Harvard University,http://scottk.seas.harvard.edu/,Scott Kuindersma,"[""ai"",""robotics"",""mlmining""]"
University of Minnesota,http://www-users.cs.umn.edu/~evw/,Eric Van Wyk,"[""robotics"",""plan""]"
Stanford University,https://graphics.stanford.edu/~hanrahan/,Pat Hanrahan,"[""hpc"",""graph"",""mlmining"",""plan"",""chi""]"
University of California - San Diego,http://cseweb.ucsd.edu/~mbtaylor/,Michael Bedford Taylor,"[""arch""]"
University of Edinburgh,https://www.inf.ed.ac.uk/people/staff/Ewan_Klein.html,Ewan Klein,"[""nlp"",""robotics""]"
Australian National University,https://cs.anu.edu.au/people/dinusha-vatsalan,Dinusha Vatsalan,
McGill University,http://www.bci.mcgill.ca/home/members/hallett,Michael T. Hallett,"[""bio""]"
University of Queensland,http://researchers.uq.edu.au/researcher/2079,Daniel Angus,
University of Queensland,http://staff.itee.uq.edu.au/marcusg/,Marcus Gallagher,
University of Michigan,http://www-personal.umich.edu/~qmei/,Qiaozhu Mei,"[""nlp"",""mlmining"",""chi"",""ir"",""metrics"",""soft"",""mod""]"
University of North Carolina,http://www.cs.unc.edu/~prins/,Jan F. Prins,"[""hpc"",""bio"",""robotics""]"
Technion - Israel Institute of Technology,http://www.cs.technion.ac.il/~bshouty/,Nader H. Bshouty,"[""mlmining"",""act""]"
ETH Zurich,https://globis.ethz.ch/person/moira-c-norrie/,Moira C. Norrie,"[""mobile"",""chi"",""mod""]"
University of Otago,http://www.cs.otago.ac.nz/staffpriv/mike/HomePages/newhome.html,Mike D. Atkinson,
Brigham Young University,http://www.google.com/search?q=Eric%20Mercer%20Brigham%20Young%20University&btnI,Eric Mercer,"[""soft"",""log""]"
University of Pennsylvania,http://www.genealogy.ams.org/id.php?id=81282,Valeriu Breazu,
Monash University,http://www.google.com/search?q=Susan%20Foster%20Monash%20University&btnI,Susan Foster,
